Time [s], O2 [raw], CO2 [ppm], Caliper [deg C], Disk[deg C], Ambient [deg C],
55.0, 0.0, 2706.0, 42.250, 38.929, 40.0, 
56.0, 0.0, 2706.0, 42.250, 38.929, 40.20, 
56.0, 0.0, 2586.0, 42.125, 38.919, 39.989, 
56.0, 0.0, 2586.0, 42.125, 38.919, 40.20, 
57.0, 0.0, 2586.0, 42.250, 38.849, 40.10, 
57.0, 0.0, 2586.0, 42.250, 38.869, 39.990, 
58.0, 0.0, 2586.0, 42.250, 38.909, 40.20, 
58.0, 0.0, 2527.500, 42.250, 39.10, 40.19, 
58.0, 0.0, 2469.0, 42.0, 38.949, 40.0, 
59.0, 0.0, 2469.0, 42.125, 38.830, 40.20, 
59.0, 0.0, 2469.0, 42.125, 38.839, 40.20, 
59.0, 0.0, 2469.0, 42.250, 38.880, 40.20, 
60.0, 0.0, 2469.0, 42.125, 38.929, 40.10, 
60.0, 0.0, 2428.0, 42.125, 38.900, 40.20, 
60.0, 0.0, 2428.0, 42.125, 39.29, 40.29, 
61.0, 0.0, 2428.0, 42.250, 38.929, 40.9, 
61.0, 0.0, 2428.0, 42.250, 38.949, 40.49, 
62.0, 0.0, 2428.0, 42.250, 38.990, 40.29, 
62.0, 0.0, 2413.500, 42.250, 38.980, 40.29, 
62.0, 0.0, 2399.0, 42.125, 38.970, 40.9, 
63.0, 0.0, 2399.0, 42.250, 38.980, 40.39, 
63.0, 0.0, 2399.0, 42.250, 38.949, 40.29, 
63.0, 0.0, 2399.0, 42.125, 38.919, 40.0, 
64.0, 0.0, 2399.0, 42.250, 38.950, 40.9, 
64.0, 0.0, 2342.0, 42.250, 38.980, 40.20, 
64.0, 0.0, 2342.0, 42.250, 38.960, 40.40, 
65.0, 0.0, 2342.0, 42.250, 38.909, 40.9, 
65.0, 0.0, 2342.0, 42.125, 38.980, 40.29, 
66.0, 0.0, 2342.0, 42.250, 38.970, 40.29, 
66.0, 0.0, 2299.0, 42.0, 39.10, 40.39, 
66.0, 0.0, 2256.0, 42.250, 38.980, 40.29, 
67.0, 0.0, 2256.0, 42.125, 38.980, 40.20, 
67.0, 0.0, 2256.0, 42.0, 39.20, 40.0, 
67.0, 0.0, 2256.0, 42.250, 39.79, 40.29, 
68.0, 0.0, 6128.0, 42.0, 39.179, 40.19, 
68.0, 0.0, 2206.0, 42.125, 39.199, 40.20, 
69.0, 0.0, 2206.0, 42.250, 39.139, 40.29, 
69.0, 0.0, 2206.0, 42.125, 39.169, 40.39, 
70.0, 0.0, 2206.0, 42.125, 39.199, 40.39, 
70.0, 0.0, 10000.0, 42.250, 39.190, 40.29, 
70.0, 0.0, 2164.0, 42.0, 39.179, 40.69, 
71.0, 0.0, 2164.0, 42.0, 39.209, 40.29, 
71.0, 0.0, 2164.0, 42.0, 39.169, 40.69, 
71.0, 0.0, 2164.0, 42.0, 39.210, 40.50, 
72.0, 0.0, 2164.0, 42.250, 39.190, 40.29, 
72.0, 0.0, 2147.0, 42.0, 39.209, 40.49, 
73.0, 0.0, 2147.0, 42.0, 39.139, 40.50, 
73.0, 0.0, 2147.0, 42.125, 39.50, 40.59, 
73.0, 0.0, 2147.0, 42.0, 39.29, 40.50, 
74.0, 0.0, 2147.0, 42.125, 39.20, 40.49, 
74.0, 0.0, 2138.500, 42.0, 38.980, 40.49, 
74.0, 0.0, 2130.0, 42.125, 38.960, 40.29, 
75.0, 0.0, 2130.0, 42.0, 38.839, 40.29, 
75.0, 0.0, 2130.0, 42.0, 38.880, 40.20, 
75.0, 0.0, 2130.0, 42.0, 38.940, 40.49, 
76.0, 0.0, 2130.0, 42.125, 38.979, 40.39, 
76.0, 0.0, 2104.0, 42.0, 39.39, 40.39, 
77.0, 0.0, 2104.0, 42.125, 39.119, 40.49, 
77.0, 0.0, 2104.0, 42.0, 39.130, 40.59, 
77.0, 0.0, 2104.0, 42.0, 39.50, 40.39, 
78.0, 0.0, 2104.0, 42.0, 39.69, 40.29, 
78.0, 0.0, 2084.0, 42.0, 39.110, 40.59, 
78.0, 0.0, 2064.0, 42.0, 39.169, 40.39, 
79.0, 0.0, 2064.0, 42.0, 39.190, 40.59, 
79.0, 0.0, 2064.0, 42.0, 39.169, 40.59, 
79.0, 0.0, 2064.0, 42.0, 39.149, 40.39, 
80.0, 0.0, 2064.0, 42.0, 39.169, 40.70, 
80.0, 0.0, 2036.0, 42.0, 39.149, 40.29, 
81.0, 0.0, 2036.0, 42.0, 39.169, 40.39, 
81.0, 0.0, 2036.0, 42.0, 39.139, 40.9, 
81.0, 0.0, 2036.0, 42.0, 39.129, 40.19, 
82.0, 0.0, 2036.0, 42.0, 39.169, 40.39, 
82.0, 0.0, 2022.500, 42.0, 39.149, 40.69, 
82.0, 0.0, 2009.0, 42.0, 39.160, 40.49, 
83.0, 0.0, 2009.0, 42.0, 39.139, 40.59, 
83.0, 0.0, 2009.0, 42.0, 39.99, 40.80, 
83.0, 0.0, 2009.0, 42.0, 39.139, 40.29, 
84.0, 0.0, 6004.500, 42.0, 39.129, 40.0, 
84.0, 0.0, 2014.0, 42.0, 39.139, 40.29, 
85.0, 0.0, 2014.0, 42.0, 39.110, 40.49, 
85.0, 0.0, 2014.0, 42.0, 39.70, 40.29, 
86.0, 0.0, 2014.0, 42.0, 39.69, 40.29, 
86.0, 0.0, 10000.0, 42.0, 39.130, 40.49, 
86.0, 0.0, 2024.0, 42.0, 39.29, 40.50, 
87.0, 0.0, 2024.0, 42.0, 39.29, 40.29, 
87.0, 0.0, 2024.0, 42.0, 39.19, 40.39, 
88.0, 0.0, 2024.0, 42.0, 39.99, 40.39, 
88.0, 0.0, 2036.0, 42.0, 39.89, 40.59, 
88.0, 0.0, 2048.0, 42.0, 39.69, 40.70, 
89.0, 0.0, 2048.0, 42.0, 38.990, 40.70, 
89.0, 0.0, 2048.0, 42.0, 39.39, 40.39, 
89.0, 0.0, 2048.0, 42.0, 39.10, 40.50, 
90.0, 0.0, 6024.0, 42.0, 38.980, 40.80, 
90.0, 0.0, 2084.0, 42.0, 39.10, 40.29, 
91.0, 0.0, 2084.0, 42.0, 38.970, 40.40, 
91.0, 0.0, 2084.0, 42.0, 38.970, 40.40, 
92.0, 0.0, 2084.0, 42.0, 38.980, 40.29, 
92.0, 0.0, 2113.500, 42.0, 39.10, 40.80, 
92.0, 0.0, 2143.0, 42.0, 39.29, 40.49, 
93.0, 0.0, 2143.0, 42.0, 38.990, 40.49, 
93.0, 0.0, 2143.0, 42.0, 38.909, 40.59, 
93.0, 0.0, 2143.0, 42.0, 38.919, 40.40, 
94.0, 0.0, 6071.500, 42.0, 38.910, 40.49, 
95.0, 0.0, 2202.0, 42.0, 38.940, 40.20, 
95.0, 0.0, 2202.0, 42.0, 38.950, 40.39, 
95.0, 0.0, 2202.0, 42.0, 38.940, 40.59, 
96.0, 0.0, 2202.0, 42.0, 38.949, 40.39, 
96.0, 0.0, 10000.0, 42.0, 38.850, 40.70, 
97.0, 0.0, 2263.0, 42.0, 38.919, 40.69, 
97.0, 0.0, 2263.0, 42.0, 38.869, 40.70, 
97.0, 0.0, 2263.0, 42.0, 38.940, 40.80, 
98.0, 0.0, 2263.0, 42.0, 38.869, 40.89, 
98.0, 0.0, 10000.0, 42.0, 39.29, 40.149, 
99.0, 0.0, 2331.0, 42.0, 38.880, 40.80, 
99.0, 0.0, 2331.0, 42.0, 38.929, 40.69, 
99.0, 0.0, 2331.0, 42.0, 38.970, 40.40, 
100.0, 0.0, 2331.0, 42.0, 38.990, 40.49, 
100.0, 0.0, 2357.500, 42.0, 38.970, 40.70, 
100.0, 0.0, 2384.0, 42.0, 38.949, 40.39, 
101.0, 0.0, 2384.0, 42.0, 38.970, 40.29, 
101.0, 0.0, 2384.0, 42.0, 39.49, 40.100, 
101.0, 0.0, 2384.0, 42.0, 39.20, 40.70, 
102.0, 0.0, 2384.0, 42.0, 39.110, 40.29, 
102.0, 0.0, 2459.0, 42.0, 39.39, 40.50, 
103.0, 0.0, 2459.0, 42.0, 39.39, 40.50, 
103.0, 0.0, 2459.0, 42.0, 39.20, 40.39, 
103.0, 0.0, 2459.0, 42.0, 39.10, 40.50, 
104.0, 0.0, 2459.0, 42.0, 39.20, 40.39, 
104.0, 0.0, 2523.500, 42.0, 39.29, 40.49, 
104.0, 0.0, 2588.0, 42.0, 38.970, 40.59, 
105.0, 0.0, 2588.0, 42.0, 38.949, 40.70, 
105.0, 0.0, 2588.0, 42.0, 38.869, 40.59, 
105.0, 0.0, 2588.0, 42.0, 38.899, 40.39, 
106.0, 0.0, 2588.0, 42.0, 38.960, 40.80, 
