Time [s], O2 [raw], CO2 [ppm], Caliper [deg C], Disk[deg C], Ambient [deg C],
84.0, 0.0, 2242.0, 16.750, 16.989, 16.649, 
85.0, 0.0, 2280.0, 16.750, 16.970, 16.619, 
85.0, 0.0, 2280.0, 16.750, 16.970, 16.630, 
85.0, 0.0, 2280.0, 16.750, 16.970, 16.660, 
86.0, 0.0, 2280.0, 16.875, 16.970, 16.649, 
86.0, 0.0, 2280.0, 16.750, 17.0, 16.660, 
86.0, 0.0, 2290.0, 16.750, 16.970, 16.610, 
87.0, 0.0, 2300.0, 16.875, 16.989, 16.649, 
87.0, 0.0, 2300.0, 16.750, 17.0, 16.649, 
88.0, 0.0, 2300.0, 16.750, 16.950, 16.639, 
88.0, 0.0, 2300.0, 16.750, 16.989, 16.639, 
88.0, 0.0, 2300.0, 16.750, 17.0, 16.660, 
89.0, 0.0, 2301.0, 16.750, 17.29, 16.700, 
89.0, 0.0, 2301.0, 16.750, 17.79, 16.669, 
89.0, 0.0, 2301.0, 16.750, 16.920, 16.660, 
90.0, 0.0, 2301.0, 16.750, 16.920, 16.669, 
90.0, 0.0, 2301.0, 16.875, 16.990, 16.700, 
90.0, 0.0, 10000.0, 17.0, 17.89, 16.670, 
91.0, 0.0, 2297.0, 16.750, 17.0, 16.680, 
91.0, 0.0, 2297.0, 16.750, 17.29, 16.669, 
92.0, 0.0, 2297.0, 16.750, 17.10, 16.680, 
92.0, 0.0, 2297.0, 16.750, 17.10, 16.680, 
92.0, 0.0, 2297.0, 16.875, 17.50, 16.720, 
93.0, 0.0, 2297.0, 16.750, 17.0, 16.700, 
93.0, 0.0, 2297.0, 16.875, 17.79, 16.720, 
94.0, 0.0, 2297.0, 16.750, 17.110, 16.680, 
94.0, 0.0, 2297.0, 16.875, 17.50, 16.690, 
94.0, 0.0, 2297.0, 16.750, 17.19, 16.690, 
95.0, 0.0, 2292.0, 16.750, 17.29, 16.740, 
95.0, 0.0, 2292.0, 16.750, 16.919, 16.700, 
95.0, 0.0, 2292.0, 16.750, 16.989, 16.740, 
96.0, 0.0, 2292.0, 16.875, 17.50, 16.709, 
96.0, 0.0, 2292.0, 16.750, 17.19, 16.710, 
96.0, 0.0, 2292.0, 17.0, 16.950, 16.710, 
97.0, 0.0, 2292.0, 16.750, 17.99, 16.720, 
97.0, 0.0, 2292.0, 16.875, 17.49, 16.710, 
98.0, 0.0, 2292.0, 16.875, 17.59, 16.750, 
98.0, 0.0, 2292.0, 16.750, 17.49, 16.740, 
98.0, 0.0, 2292.0, 17.0, 17.110, 16.769, 
99.0, 0.0, 2299.0, 17.0, 17.90, 16.750, 
99.0, 0.0, 2299.0, 16.875, 17.29, 16.770, 
99.0, 0.0, 2299.0, 16.875, 17.69, 16.759, 
100.0, 0.0, 2299.0, 17.0, 17.50, 16.770, 
100.0, 0.0, 2299.0, 16.875, 17.139, 16.769, 
100.0, 0.0, 2309.0, 17.0, 17.69, 16.759, 
101.0, 0.0, 2319.0, 16.875, 17.79, 16.779, 
101.0, 0.0, 2319.0, 16.875, 17.99, 16.779, 
102.0, 0.0, 2319.0, 17.0, 17.29, 16.770, 
102.0, 0.0, 2319.0, 16.875, 17.99, 16.770, 
102.0, 0.0, 2319.0, 17.0, 17.129, 16.759, 
103.0, 0.0, 2336.0, 17.0, 17.99, 16.769, 
103.0, 0.0, 2336.0, 17.0, 17.129, 16.769, 
103.0, 0.0, 2336.0, 17.0, 17.130, 16.769, 
104.0, 0.0, 2336.0, 17.0, 17.69, 16.790, 
104.0, 0.0, 2336.0, 16.750, 17.130, 16.800, 
104.0, 0.0, 2345.0, 17.0, 17.80, 16.789, 
105.0, 0.0, 2354.0, 17.0, 17.130, 16.769, 
105.0, 0.0, 2354.0, 16.875, 17.69, 16.819, 
106.0, 0.0, 2354.0, 17.0, 17.99, 16.799, 
106.0, 0.0, 2354.0, 17.0, 17.69, 16.839, 
106.0, 0.0, 2354.0, 16.750, 17.89, 16.799, 
107.0, 0.0, 2366.0, 16.875, 17.109, 16.809, 
107.0, 0.0, 2366.0, 17.0, 17.79, 16.800, 
107.0, 0.0, 2366.0, 16.875, 17.119, 16.789, 
108.0, 0.0, 2366.0, 16.750, 17.130, 16.839, 
108.0, 0.0, 2366.0, 17.0, 17.109, 16.819, 
108.0, 0.0, 10000.0, 16.750, 16.989, 16.829, 
109.0, 0.0, 2380.0, 16.875, 17.99, 16.809, 
109.0, 0.0, 2380.0, 17.0, 17.79, 16.790, 
110.0, 0.0, 2380.0, 16.750, 16.980, 16.799, 
110.0, 0.0, 2380.0, 17.0, 17.19, 16.819, 
110.0, 0.0, 10000.0, 17.0, 17.89, 16.790, 
111.0, 0.0, 2414.0, 17.0, 17.110, 16.809, 
111.0, 0.0, 2414.0, 16.875, 17.99, 16.849, 
112.0, 0.0, 2414.0, 17.0, 17.29, 16.809, 
112.0, 0.0, 2414.0, 17.0, 17.50, 16.850, 
112.0, 0.0, 2429.500, 17.0, 17.119, 16.809, 
113.0, 0.0, 2445.0, 17.0, 17.99, 16.819, 
113.0, 0.0, 2445.0, 17.0, 17.160, 16.829, 
114.0, 0.0, 2445.0, 16.875, 17.89, 16.849, 
114.0, 0.0, 2445.0, 17.0, 17.190, 16.849, 
114.0, 0.0, 6222.500, 16.875, 17.149, 16.869, 
115.0, 0.0, 2496.0, 16.875, 17.129, 16.849, 
115.0, 0.0, 2496.0, 17.0, 17.69, 16.829, 
116.0, 0.0, 2496.0, 16.875, 17.179, 16.850, 
116.0, 0.0, 2496.0, 17.0, 17.179, 16.869, 
116.0, 0.0, 2542.0, 17.0, 17.229, 16.869, 
117.0, 0.0, 2588.0, 17.0, 17.139, 16.870, 
117.0, 0.0, 2588.0, 17.0, 17.99, 16.880, 
118.0, 0.0, 2588.0, 17.0, 17.259, 16.849, 
118.0, 0.0, 2588.0, 17.0, 17.349, 16.840, 
118.0, 0.0, 2588.0, 17.0, 17.269, 16.860, 
119.0, 0.0, 2699.0, 17.0, 17.259, 16.880, 
119.0, 0.0, 2699.0, 16.875, 17.319, 16.839, 
119.0, 0.0, 2699.0, 17.0, 17.250, 16.869, 
120.0, 0.0, 2699.0, 17.0, 17.319, 16.890, 
120.0, 0.0, 2699.0, 17.0, 17.239, 16.880, 
121.0, 0.0, 2752.500, 17.0, 17.199, 16.910, 
121.0, 0.0, 2806.0, 17.0, 17.209, 16.870, 
121.0, 0.0, 2806.0, 17.0, 17.170, 16.869, 
122.0, 0.0, 2806.0, 17.0, 17.330, 16.900, 
122.0, 0.0, 2806.0, 17.0, 17.269, 16.880, 
122.0, 0.0, 2806.0, 17.0, 17.259, 16.920, 
123.0, 0.0, 2914.0, 17.0, 17.319, 16.930, 
123.0, 0.0, 2914.0, 17.0, 17.250, 16.880, 
123.0, 0.0, 2914.0, 17.0, 17.259, 16.900, 
124.0, 0.0, 2914.0, 17.0, 17.209, 16.880, 
124.0, 0.0, 2914.0, 17.0, 17.229, 16.869, 
125.0, 0.0, 2963.500, 17.0, 17.220, 16.960, 
125.0, 0.0, 3013.0, 17.0, 17.250, 16.900, 
125.0, 0.0, 3013.0, 16.875, 17.229, 16.940, 
126.0, 0.0, 3013.0, 17.0, 17.229, 16.889, 
126.0, 0.0, 3013.0, 17.0, 17.229, 16.950, 
126.0, 0.0, 3013.0, 17.0, 17.289, 16.880, 
127.0, 0.0, 3109.0, 17.0, 17.90, 16.889, 
127.0, 0.0, 3109.0, 17.0, 17.129, 16.910, 
127.0, 0.0, 3109.0, 17.0, 17.179, 16.890, 
128.0, 0.0, 3109.0, 17.0, 17.250, 16.950, 
128.0, 0.0, 3109.0, 17.0, 17.110, 16.910, 
129.0, 0.0, 3148.0, 17.0, 17.109, 16.860, 
