Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Received message 1. Received message 2. Received message 3. Received message 4. Received message 5. Received message 6. Calibration complete! Offset is: 508 Hz.  GPS lost
0:0:0, 44687.0086059, 0, 0.0, 0, 55.795227, 137.088005, 0, 0, 0, 94.5, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 45207.0088043, 0, 0.0, 0, 58.5485305, 137.088005, 0, 0, 0, 70.3499984, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 45264.0088043, 0, 0.0, 0, 58.5485305, 137.088005, 0, 0, 0, 70.3499984, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 45708.00885, 0, 0.0, 0, 60.5103187, 137.088005, 0, 0, 0, 52.5, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 46199.0087966, 0, 0.0, 0, 61.6239814, 137.088005, 0, 0, 0, 30.4500007, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 46256.0088043, 0, 0.0, 0, 61.6239814, 137.088005, 0, 0, 0, 30.4500007, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 46681.00885, 0, 0.0, 0, 62.7124595, 137.088005, 0, 0, 0, 29.3999996, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 47159.0092849, 0, 0.0, 0, 63.0761184, 137.088005, 0, 0, 0, 9.4499997, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 47215.0092926, 0, 0.0, 0, 63.0761184, 137.088005, 0, 0, 0, 9.4499997, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 47631.0093383, 0, 0.0, 0, 64.1403579, 137.088005, 0, 0, 0, 29.3999996, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 48097.0092773, 0, 0.0, 0, 64.8946304, 137.088005, 0, 0, 0, 21, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 48151.0092849, 0, 0.0, 0, 64.8946304, 137.088005, 0, 0, 0, 21, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 48553.0093078, 0, 0.0, 0, 66.2028579, 137.088005, 0, 0, 0, 37.7999992, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 49010.0097656, 0, 0.0, 0, 65.5913391, 137.088005, 0, 0, 0, -17.8500003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 49073.0097656, 0, 0.0, 0, 65.5913391, 137.088005, 0, 0, 0, -17.8500003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 49466.0097961, 0, 0.0, 0, 65.7862472, 137.088005, 0, 0, 0, 5.2499999, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 49928.0098266, 0, 0.0, 0, 64.8119354, 137.088005, 0, 0, 0, -28.3500003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 49985.0098266, 0, 0.0, 0, 64.8119354, 137.088005, 0, 0, 0, -28.3500003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 50395.007843, 0, 0.0, 0, 64.37294, 137.088005, 0, 0, 0, -12.6000003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 50868.0078735, 0, 0.0, 0, 63.3628501, 137.088005, 0, 0, 0, -28.3500003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 50924.0078735, 0, 0.0, 0, 63.3628501, 137.088005, 0, 0, 0, -28.3500003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 51348.0080261, 0, 0.0, 0, 62.3281707, 137.088005, 0, 0, 0, -28.3500003, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 51835.0080566, 0, 0.0, 0, 61.5292854, 137.088005, 0, 0, 0, -22.0499992, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 51897.0080566, 0, 0.0, 0, 61.5292854, 137.088005, 0, 0, 0, -22.0499992, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 52331.0082092, 0, 0.0, 0, 60.598011, 137.088005, 0, 0, 0, -25.2000007, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 52833.0082397, 0, 0.0, 0, 59.5358581, 137.088005, 0, 0, 0, -28.3500003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 52890.0082397, 0, 0.0, 0, 59.5358581, 137.088005, 0, 0, 0, -28.3500003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 53343.0083312, 0, 0.0, 0, 58.7771339, 137.088005, 0, 0, 0, -19.9500007, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 53862.0083618, 0, 0.0, 0, 57.9392203, 137.088005, 0, 0, 0, -21, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 53916.0083618, 0, 0.0, 0, 57.9392203, 137.088005, 0, 0, 0, -21, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 54388.0085754, 0, 0.0, 0, 56.981285, 137.088005, 0, 0, 0, -24.1499996, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 54923.0086059, 0, 0.0, 0, 56.1666107, 137.088005, 0, 0, 0, -19.9500007, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 54979.0086059, 0, 0.0, 0, 56.1666107, 137.088005, 0, 0, 0, -19.9500007, 0, 0, 0, 0, 0.0, 28.9311, 
