Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Received message 1. Received message 2. Received message 3. Received message 4. Received message 5. Received message 6. Calibration complete! Offset is: 508 Hz.  GPS lost
0:0:0, 86807.0166625, 0, 0.0, 0, 72.682495, 137.088005, 0, 0, 0, 45.1500015, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 87969.0171508, 0, 0.0, 0, 80.8885116, 137.088005, 0, 0, 0, 42, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 89037.0175781, 0, 0.0, 0, 86.2080764, 137.088005, 0, 0, 0, 21, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 90068.0156249, 0, 0.0, 0, 88.9926604, 137.088005, 0, 0, 0, 25.2000007, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 91068.0158081, 0, 0.0, 0, 92.0373611, 137.088005, 0, 0, 0, 30.4500007, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 92029.0159912, 0, 0.0, 0, 95.4621505, 137.088005, 0, 0, 0, 24.1499996, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 92966.0160522, 0, 0.0, 0, 95.7731094, 137.088005, 0, 0, 0, -36.75, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 93931.0161743, 0, 0.0, 0, 92.269783, 137.088005, 0, 0, 0, -27.2999992, 0, 0, 0, 0, 9.8080, 26.8963, 
0:0:0, 94928.0164184, 0, 0.0, 0, 89.4240341, 137.088005, 0, 0, 0, -19.9500007, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 95956.0166625, 0, 0.0, 0, 86.477478, 137.088005, 0, 0, 0, -22.0499992, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 97019.0170898, 0, 0.0, 0, 83.5293884, 137.088005, 0, 0, 0, -23.1000003, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 97754.0171508, 0, 0.0, 0, 81.9113692, 137.088005, 0, 0, 0, -11.5500001, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 98879.0171508, 0, 0.0, 0, 78.643814, 137.088005, 0, 0, 0, -15.75, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 100061.0234374, 0, 0.0, 0, 75.0059738, 137.088005, 0, 0, 0, -18.8999996, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 100884.0234985, 0, 0.0, 0, 72.3485641, 137.088005, 0, 0, 0, -19.9500007, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 102170.0238113, 0, 0.0, 0, 68.6119003, 137.088005, 0, 0, 0, -22.0499992, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 103069.0239257, 0, 0.0, 0, 65.7885513, 137.088005, 0, 0, 0, -24.1499996, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 104018.0241699, 0, 0.0, 0, 61.2867965, 137.088005, 0, 0, 0, -37.7999992, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 105033.024414, 0, 0.0, 0, 58.1235504, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 106080.024414, 0, 0.0, 0, 56.892559, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 107160.0249099, 0, 0.0, 0, 55.0670165, 137.088005, 0, 0, 0, -9.4499997, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 108277.0249176, 0, 0.0, 0, 53.1883277, 137.088005, 0, 0, 0, -11.5500001, 0, 0, 0, 0, 9.7643, 26.5101, 
0:0:0, 108850.0249633, 0, 0.0, 0, 52.3792228, 137.088005, 0, 0, 0, -9.4499997, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 110029.0253906, 0, 0.0, 0, 50.4152679, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 111252.0255889, 0, 0.0, 0, 48.6152343, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 111882.0256347, 0, 0.0, 0, 47.5573654, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 113180.0258865, 0, 0.0, 0, 45.6946143, 137.088005, 0, 0, 0, -9.4499997, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 113849.0259399, 0, 0.0, 0, 44.7439155, 137.088005, 0, 0, 0, -9.4499997, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 115233.0263824, 0, 0.0, 0, 42.8351898, 137.088005, 0, 0, 0, -8.3999996, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 115950.0264282, 0, 0.0, 0, 41.7646942, 137.088005, 0, 0, 0, -9.4499997, 0, 0, 0, 0, 9.8080, 26.5101, 
