Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Received message 1. Received message 2. Received message 3. Received message 4. Received message 5. Received message 6. Calibration complete! Offset is: 509 Hz. 
0:0:0, 30256.0058746, 0, 0.0, 0, 51.0928573, 137.088005, 0, 0, 0, -3.15, 0, 0, 0, 0, 0.2729, 27.9891, 
0:0:0, 30843.0059204, 0, 0.0, 0, 51.25708, 137.088005, 0, 0, 0, 1.0499999, 0, 0, 0, 0, 0.106, 27.8369, 
0:0:0, 30899.0059204, 0, 0.0, 0, 51.25708, 137.088005, 0, 0, 0, 1.0499999, 0, 0, 0, 0, 0.106, 27.8369, 
0:0:0, 31428.0060729, 0, 0.0, 0, 51.6240958, 137.088005, 0, 0, 0, 4.1999998, 0, 0, 0, 0, 0.106, 27.8369, 
0:0:0, 31483.0060729, 0, 0.0, 0, 51.6240958, 137.088005, 0, 0, 0, 4.1999998, 0, 0, 0, 0, 0.106, 27.9891, 
0:0:0, 32010.0062255, 0, 0.0, 0, 51.9103431, 137.088005, 0, 0, 0, 3.15, 0, 0, 0, 0, 0.106, 27.9891, 
0:0:0, 32591.0062561, 0, 0.0, 0, 51.8145751, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 2.1471, 27.8369, 
0:0:0, 32648.0062866, 0, 0.0, 0, 51.8145751, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 2.1471, 27.9891, 
0:0:0, 33175.0063552, 0, 0.0, 0, 51.6666106, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 2.1471, 27.9891, 
0:0:0, 33757.0064086, 0, 0.0, 0, 51.7646904, 137.088005, 0, 0, 0, 1.0499999, 0, 0, 0, 0, 2.1471, 27.9891, 
0:0:0, 33818.0064086, 0, 0.0, 0, 51.7646904, 137.088005, 0, 0, 0, 1.0499999, 0, 0, 0, 0, 2.1471, 27.7835, 
