Position,Height,Notes,,Distance Down Course,Pre-Course,Braking,Post-Catch,Elevation,,Course Start,34000
Feet,Feet,,,,,,,,,,
9850,4649.8,,,,7360.92,,,1417.25904,,,
9900,4650.1,,,,7345.68,,,1417.35048,,,
9950,4650.3,,,,7330.44,,,1417.41144,,,
10000,4650.5,,,,7315.2,,,1417.4724,,,
10050,4650.7,,,,7299.96,,,1417.53336,,,
10100,4650.9,,,,7284.72,,,1417.59432,,,
10150,4651,,,,7269.48,,,1417.6248,,,
10200,4651.2,,,,7254.24,,,1417.68576,,,
10250,4651.4,,,,7239,,,1417.74672,,,
10300,4651.6,,,,7223.76,,,1417.80768,,,
10350,4651.7,,,,7208.52,,,1417.83816,,,
10400,4651.9,,,,7193.28,,,1417.89912,,,
10450,4652.2,,,,7178.04,,,1417.99056,,,
10500,4652.4,,,,7162.8,,,1418.05152,,,
10550,4652.6,,,,7147.56,,,1418.11248,,,
10600,4652.8,,,,7132.32,,,1418.17344,,,
10650,4653.1,,,,7117.08,,,1418.26488,,,
10700,4653.3,,,,7101.84,,,1418.32584,,,
10750,4653.6,,,,7086.6,,,1418.41728,,,
10800,4653.8,,,,7071.36,,,1418.47824,,,
10850,4654,,,,7056.12,,,1418.5392,,,
10900,4654.2,,,,7040.88,,,1418.60016,,,
10950,4654.5,,,,7025.64,,,1418.6916,,,
11000,4654.7,,,,7010.4,,,1418.75256,,,
11050,4654.9,,,,6995.16,,,1418.81352,,,
11100,4655.2,,,,6979.92,,,1418.90496,,,
11150,4655.5,,,,6964.68,,,1418.9964,,,
11200,4655.8,,,,6949.44,,,1419.08784,,,
11250,4656.1,,,,6934.2,,,1419.17928,,,
11300,4656.5,,,,6918.96,,,1419.3012,,,
11350,4656.8,,,,6903.72,,,1419.39264,,,
11400,4657.1,,,,6888.48,,,1419.48408,,,
11450,4657.5,,,,6873.24,,,1419.606,,,
11500,4657.8,,,,6858,,,1419.69744,,,
11550,4658.1,,,,6842.76,,,1419.78888,,,
11600,4658.5,,,,6827.52,,,1419.9108,,,
11650,4658.8,,,,6812.28,,,1420.00224,,,
11700,4659.1,,,,6797.04,,,1420.09368,,,
11750,4659.4,,,,6781.8,,,1420.18512,,,
11800,4659.8,,,,6766.56,,,1420.30704,,,
11850,4660.1,,,,6751.32,,,1420.39848,,,
11900,4660.4,,,,6736.08,,,1420.48992,,,
11950,4660.7,,,,6720.84,,,1420.58136,,,
12000,4661,,,,6705.6,,,1420.6728,,,
12050,4661.3,,,,6690.36,,,1420.76424,,,
12100,4661.6,,,,6675.12,,,1420.85568,,,
12150,4661.9,,,,6659.88,,,1420.94712,,,
12200,4662.2,,,,6644.64,,,1421.03856,,,
12250,4662.5,,,,6629.4,,,1421.13,,,
12300,4662.8,,,,6614.16,,,1421.22144,,,
12350,4663.1,,,,6598.92,,,1421.31288,,,
12400,4663.4,,,,6583.68,,,1421.40432,,,
12450,4663.7,,,,6568.44,,,1421.49576,,,
12500,4664.1,,,,6553.2,,,1421.61768,,,
12550,4664.4,,,,6537.96,,,1421.70912,,,
12600,4664.7,,,,6522.72,,,1421.80056,,,
12650,4665.1,,,,6507.48,,,1421.92248,,,
12700,4665.4,,,,6492.24,,,1422.01392,,,
12750,4665.8,,,,6477,,,1422.13584,,,
12800,4666.1,,,,6461.76,,,1422.22728,,,
